2025-10-16 23:20:49,020 | INFO | Loaded 8007 symbols from NASDAQ/NYSE
2025-10-16 23:23:46,956 | INFO | connect failed; reconnecting in 2.1 seconds: ssl.SSLCertVerificationError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1077)
2025-10-16 23:23:49,137 | INFO | connect failed; reconnecting in 3.1 seconds: ssl.SSLCertVerificationError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1077)
2025-10-16 23:26:23,978 | INFO | connect failed; reconnecting in 5.0 seconds: ssl.SSLCertVerificationError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1077)
2025-10-16 23:29:00,183 | INFO | connect failed; reconnecting in 8.1 seconds: ssl.SSLCertVerificationError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1077)
2025-10-16 23:31:34,060 | INFO | connect failed; reconnecting in 13.1 seconds: ssl.SSLCertVerificationError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1077)
2025-10-16 23:34:11,484 | INFO | connect failed; reconnecting in 21.2 seconds: ssl.SSLCertVerificationError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1077)
2025-10-16 23:39:21,504 | INFO | Loaded 8007 symbols from NASDAQ/NYSE
2025-10-16 23:52:36,161 | INFO | Loaded 8007 symbols from NASDAQ/NYSE
2025-10-16 23:55:03,429 | INFO | Subscribed → options/trades
2025-10-16 23:57:24,989 | WARNING | WS error: received 1008 (policy violation); then sent 1008 (policy violation); reconnecting...
